"","Date","Q_m3_s"
"155",2015-10-03,2.25518689575019
"156",2015-10-04,2.18854650421925
"157",2015-10-05,2.10624608618876
"158",2015-10-06,2.04929765519001
"159",2015-10-07,1.98029603803556
"160",2015-10-08,1.91101636139395
"161",2015-10-09,2.30888098762943
"162",2015-10-10,2.44253182947855
"163",2015-10-11,2.34941335632323
"164",2015-10-12,2.39513990195218
"165",2015-10-13,2.09156907368525
"166",2015-10-14,2.37761771238672
"167",2015-10-15,2.44307861508261
"168",2015-10-16,2.15125776217246
"169",2015-10-17,2.01862369287948
"170",2015-10-18,1.9944311843639
"171",2015-10-19,1.94373773278748
"172",2015-10-20,1.82494123708331
"173",2015-10-21,1.73438860508172
"174",2015-10-22,2.52987636943137
"175",2015-10-23,2.82205019397645
"176",2015-10-24,2.30823068537752
"177",2015-10-25,2.13745907674769
