"","Date","Q_m3_s"
"331",2016-08-12,3.26935037082948
"332",2016-08-13,3.12573257773581
"333",2016-08-14,3.02258121128961
"334",2016-08-15,3.11255630841032
"335",2016-08-16,3.02129601462059
"336",2016-08-17,2.94803071290012
"337",2016-08-18,3.02070520024939
"338",2016-08-19,3.15068169572556
"339",2016-08-20,3.13641938454164
"340",2016-08-21,3.0525284964106
"341",2016-08-22,3.20330898196715
"342",2016-08-23,3.23876810792294
"343",2016-08-24,3.18638451013154
"344",2016-08-25,3.07225332934769
"345",2016-08-26,2.99477818633691
"346",2016-08-27,2.93210266210636
"347",2016-08-28,2.92065352740653
"348",2016-08-29,3.07185330704051
"349",2016-08-30,2.91668195718605
"350",2016-08-31,2.95617779524894
"351",2016-09-01,2.85162401049631
"352",2016-09-02,2.92170379367449
"353",2016-09-03,3.06146926754092
"354",2016-09-04,3.62708996050763
"355",2016-09-05,3.27113547054478
"356",2016-09-06,3.10500753924083
"357",2016-09-07,2.93357491477103
"358",2016-09-08,2.85156337841166
"359",2016-09-09,2.79906774420204
"360",2016-09-10,2.87652008381669
"361",2016-09-11,3.25749390085835
"362",2016-09-12,3.06394947080346
"363",2016-09-13,2.99327529030433
"364",2016-09-14,3.13248278323638
"365",2016-09-15,3.00078961980363
"366",2016-09-16,2.9148617569991
"367",2016-09-17,2.95173054047431
"368",2016-09-18,2.74067343970819
"369",2016-09-19,2.81851892427865
"370",2016-09-20,2.76384041840185
"371",2016-09-21,2.62297501800452
"372",2016-09-22,2.53105351288751
"373",2016-09-23,2.47355172659599
"374",2016-09-24,2.60388027183248
"375",2016-09-25,2.91612121854328
"376",2016-09-26,2.87514875880878
"377",2016-09-27,2.77584379186287
"378",2016-09-28,2.84408453741507
"379",2016-09-29,2.82374875698156
"380",2016-09-30,2.89429624249898
"381",2016-10-01,2.9333585409365
"382",2016-10-02,3.14491508984342
"383",2016-10-03,3.13699294213717
"384",2016-10-04,3.15327954550494
"385",2016-10-05,2.91091575380394
"386",2016-10-06,2.79416509246591
"387",2016-10-07,2.87829500248334
"388",2016-10-08,2.73979445027884
"389",2016-10-09,2.87397284155648
"390",2016-10-10,2.73574803738075
"391",2016-10-11,2.64281332470294
"392",2016-10-12,2.67149024727334
"393",2016-10-13,2.59551740682878
"394",2016-10-14,2.52904448691728
"395",2016-10-15,2.47325413650223
"396",2016-10-16,2.60478279100396
"397",2016-10-17,2.51629137606132
"398",2016-10-18,2.49114694142007
"399",2016-10-19,2.65346185646991
"400",2016-10-20,2.5551533281431
"401",2016-10-21,2.45793875761906
"402",2016-10-22,2.56474420203458
"403",2016-10-23,2.76964609326981
"404",2016-10-24,2.70217272133573
"405",2016-10-25,2.53923909768834
"406",2016-10-26,2.50257876168609
"407",2016-10-27,2.42697117523864
"408",2016-10-28,2.38335119356219
"409",2016-10-29,2.3424917415028
"410",2016-10-30,2.28571626906449
"411",2016-10-31,2.15757380380961
"412",2016-11-01,2.09910109557673
"413",2016-11-02,2.0822993481903
"414",2016-11-03,2.20677600145356
"415",2016-11-04,2.12288579324773
"416",2016-11-05,2.09785859157955
"417",2016-11-06,2.07302622738007
"418",2016-11-07,2.05708670307418
"419",2016-11-08,2.12381049027507
"420",2016-11-09,2.26774915526332
"421",2016-11-10,2.14301178423232
"422",2016-11-11,2.12979562479934
"423",2016-11-12,2.09449385831574
"424",2016-11-13,2.08494553431861
"425",2016-11-14,2.09889918275879
"426",2016-11-15,2.10554509601376
"427",2016-11-16,2.10926361823673
"428",2016-11-17,2.09096606157613
"429",2016-11-18,2.06501295027205
"430",2016-11-19,2.05596484537788
"431",2016-11-20,2.05392314917219
"432",2016-11-21,2.03571943668409
"433",2016-11-22,2.02136493243637
"434",2016-11-23,2.00867803485139
"435",2016-11-24,1.99982605366644
"436",2016-11-25,2.00140123828545
"437",2016-11-26,1.97696161845176
"438",2016-11-27,1.97325565933785
"439",2016-11-28,1.96654695040821
"440",2016-11-29,1.95449844992459
"441",2016-11-30,1.94333468327398
